Neural Net, 8, False, rgb, 3, 0.8481304991500965
AdaBoost, 8, False, rgb, 3, 0.7660145316469105
Nearest Neighbors, 16, False, rgb, 3, 0.7882906147472164
Linear SVM, 16, False, rgb, 3, 0.8225449034380519
Decision Tree, 16, False, rgb, 3, 0.7498209330993032
Random Forest, 16, False, rgb, 3, 0.7930978921039341
Neural Net, 16, False, rgb, 3, 0.8030654695427424
AdaBoost, 16, False, rgb, 3, 0.7764706441405973
Nearest Neighbors, 32, False, rgb, 3, 0.7914729866128347
Linear SVM, 32, False, rgb, 3, 0.8078383511268458
Decision Tree, 32, False, rgb, 3, 0.6794643616109657
Random Forest, 32, False, rgb, 3, 0.805054464407118
Neural Net, 32, False, rgb, 3, 0.8264311952337914
AdaBoost, 32, False, rgb, 3, 0.7607859933149523
